datetime,open,high,low,close,volume
2023-12-28 18:24:00,135925.0,135935.0,135850.0,135850.0,1405
2024-01-02 09:00:00,135250.0,135265.0,135150.0,135180.0,5933
2024-01-02 09:01:00,135175.0,135225.0,135035.0,135105.0,24304
2024-01-02 09:02:00,135100.0,135135.0,134930.0,134985.0,19507
2024-01-02 09:03:00,134985.0,134985.0,134895.0,134910.0,10745
2024-01-02 09:04:00,134910.0,134955.0,134885.0,134925.0,9802
2024-01-02 09:05:00,134925.0,134930.0,134820.0,134830.0,11826
2024-01-02 09:06:00,134830.0,134840.0,134765.0,134790.0,10843
2024-01-02 09:07:00,134790.0,134820.0,134770.0,134775.0,5099
2024-01-02 09:08:00,134775.0,134795.0,134755.0,134785.0,4135
2024-01-02 09:09:00,134780.0,134795.0,134755.0,134775.0,3729
2024-01-02 09:10:00,134780.0,134805.0,134755.0,134790.0,5289
2024-01-02 09:11:00,134795.0,134820.0,134775.0,134790.0,4407
2024-01-02 09:12:00,134785.0,134815.0,134775.0,134795.0,2990
2024-01-02 09:13:00,134800.0,134815.0,134780.0,134805.0,2410
2024-01-02 09:14:00,134810.0,134810.0,134785.0,134805.0,2106
2024-01-02 09:15:00,134805.0,134820.0,134775.0,134785.0,4654
2024-01-02 09:16:00,134790.0,134815.0,134780.0,134810.0,2763
2024-01-02 09:17:00,134815.0,134820.0,134800.0,134815.0,1802
2024-01-02 09:18:00,134815.0,134820.0,134800.0,134810.0,1863
2024-01-02 09:19:00,134810.0,134815.0,134795.0,134805.0,1428
2024-01-02 09:20:00,134805.0,134825.0,134795.0,134815.0,2709
2024-01-02 09:21:00,134815.0,134830.0,134810.0,134825.0,2420
2024-01-02 09:22:00,134820.0,134830.0,134810.0,134825.0,1395
2024-01-02 09:23:00,134830.0,134895.0,134830.0,134890.0,10554
2024-01-02 09:24:00,134885.0,134945.0,134885.0,134930.0,9526
2024-01-02 09:25:00,134930.0,134960.0,134910.0,134950.0,6068
2024-01-02 09:26:00,134950.0,135000.0,134945.0,134980.0,7151
2024-01-02 09:27:00,134980.0,135035.0,134975.0,135030.0,7046
2024-01-02 09:28:00,135030.0,135080.0,135020.0,135050.0,10997
2024-01-02 09:29:00,135045.0,135070.0,135030.0,135050.0,4740
2024-01-02 09:30:00,135050.0,135055.0,135005.0,135025.0,6646
2024-01-02 09:31:00,135025.0,135045.0,135005.0,135030.0,3796
2024-01-02 09:32:00,135030.0,135050.0,135000.0,135040.0,4368
2024-01-02 09:33:00,135045.0,135095.0,135040.0,135070.0,8140
2024-01-02 09:34:00,135070.0,135085.0,135065.0,135080.0,2519
2024-01-02 09:35:00,135075.0,135115.0,135060.0,135105.0,5793
2024-01-02 09:36:00,135100.0,135115.0,135090.0,135090.0,3243
2024-01-02 09:37:00,135090.0,135110.0,135080.0,135110.0,2526
2024-01-02 09:38:00,135105.0,135115.0,135080.0,135085.0,2890
2024-01-02 09:39:00,135085.0,135105.0,135080.0,135095.0,1553
2024-01-02 09:40:00,135095.0,135095.0,135075.0,135090.0,2417
2024-01-02 09:41:00,135095.0,135115.0,135075.0,135080.0,3740
2024-01-02 09:42:00,135075.0,135080.0,135050.0,135065.0,6026
2024-01-02 09:43:00,135065.0,135085.0,135050.0,135065.0,2903
2024-01-02 09:44:00,135065.0,135080.0,135060.0,135060.0,1730
2024-01-02 09:45:00,135065.0,135090.0,135060.0,135075.0,3706
2024-01-02 09:46:00,135080.0,135095.0,135065.0,135095.0,1855
2024-01-02 09:47:00,135095.0,135125.0,135075.0,135115.0,4912
2024-01-02 09:48:00,135115.0,135115.0,135095.0,135105.0,2783
2024-01-02 09:49:00,135110.0,135130.0,135100.0,135110.0,3516
2024-01-02 09:50:00,135110.0,135120.0,135080.0,135085.0,4151
2024-01-02 09:51:00,135090.0,135095.0,135075.0,135090.0,2106
2024-01-02 09:52:00,135095.0,135110.0,135085.0,135100.0,2230
2024-01-02 09:53:00,135100.0,135120.0,135095.0,135115.0,1582
2024-01-02 09:54:00,135120.0,135125.0,135090.0,135125.0,2782
2024-01-02 09:55:00,135120.0,135180.0,135105.0,135170.0,9728
2024-01-02 09:56:00,135165.0,135175.0,135115.0,135125.0,6565
2024-01-02 09:57:00,135125.0,135135.0,135055.0,135080.0,10257
2024-01-02 09:58:00,135075.0,135095.0,135055.0,135065.0,4885
2024-01-02 09:59:00,135070.0,135095.0,135060.0,135090.0,2937
2024-01-02 10:00:00,135095.0,135100.0,135000.0,135030.0,16524
2024-01-02 10:01:00,135030.0,135040.0,134980.0,134995.0,10502
2024-01-02 10:02:00,135000.0,135050.0,134995.0,135035.0,6162
2024-01-02 10:03:00,135040.0,135050.0,135010.0,135040.0,4253
2024-01-02 10:04:00,135040.0,135085.0,135030.0,135065.0,7585
2024-01-02 10:05:00,135070.0,135080.0,135025.0,135065.0,5283
2024-01-02 10:06:00,135065.0,135125.0,135065.0,135115.0,10073
2024-01-02 10:07:00,135115.0,135145.0,135065.0,135140.0,8100
2024-01-02 10:08:00,135140.0,135165.0,135130.0,135160.0,6554
2024-01-02 10:09:00,135155.0,135205.0,135155.0,135165.0,11964
2024-01-02 10:10:00,135165.0,135190.0,135090.0,135095.0,10942
2024-01-02 10:11:00,135095.0,135110.0,135065.0,135090.0,7726
2024-01-02 10:12:00,135090.0,135095.0,134985.0,135015.0,13733
2024-01-02 10:13:00,135020.0,135040.0,135005.0,135030.0,4961
2024-01-02 10:14:00,135030.0,135050.0,134985.0,134985.0,5424
2024-01-02 10:15:00,134990.0,135000.0,134950.0,134980.0,13905
2024-01-02 10:16:00,134975.0,135050.0,134965.0,135035.0,10765
2024-01-02 10:17:00,135035.0,135115.0,135035.0,135070.0,12861
2024-01-02 10:18:00,135075.0,135095.0,135040.0,135040.0,5628
2024-01-02 10:19:00,135040.0,135055.0,134990.0,135005.0,7656
2024-01-02 10:20:00,135005.0,135010.0,134870.0,134950.0,24551
2024-01-02 10:21:00,134950.0,135010.0,134920.0,134985.0,10124
2024-01-02 10:22:00,134985.0,135010.0,134950.0,134995.0,5312
2024-01-02 10:23:00,134995.0,135000.0,134945.0,134985.0,5837
2024-01-02 10:24:00,134990.0,135015.0,134960.0,134980.0,5928
2024-01-02 10:25:00,134980.0,135045.0,134965.0,135040.0,8917
2024-01-02 10:26:00,135040.0,135080.0,134995.0,135000.0,9952
2024-01-02 10:27:00,134995.0,135000.0,134880.0,134895.0,14936
2024-01-02 10:28:00,134890.0,134895.0,134730.0,134755.0,28565
2024-01-02 10:29:00,134760.0,134760.0,134660.0,134690.0,19079
2024-01-02 10:30:00,134690.0,134695.0,134595.0,134660.0,19874
2024-01-02 10:31:00,134665.0,134775.0,134625.0,134760.0,18276
2024-01-02 10:32:00,134755.0,134760.0,134645.0,134670.0,10743
2024-01-02 10:33:00,134670.0,134715.0,134625.0,134675.0,9956
2024-01-02 10:34:00,134680.0,134810.0,134665.0,134795.0,15769
2024-01-02 10:35:00,134800.0,134965.0,134785.0,134925.0,22982
2024-01-02 10:36:00,134930.0,134960.0,134905.0,134915.0,9901
2024-01-02 10:37:00,134920.0,135040.0,134910.0,135015.0,13129
2024-01-02 10:38:00,135010.0,135020.0,134915.0,134980.0,12631
